"Zaman","DesarjMw","SarjMw","KalanMwh","GerilimMv","PrizdeMi","DesarjEdiyor"
"2026-09-19T18:15:24.0872152+03:00","26894","0","36548","11425","False","True"
"2026-09-19T18:15:25.1016759+03:00","26944","0","36548","11446","False","True"
"2026-09-19T18:15:26.1142465+03:00","25570","0","36537","11446","False","True"
"2026-09-19T18:15:27.1420689+03:00","24981","0","36537","11182","False","True"
"2026-09-19T18:15:28.1680464+03:00","34575","0","36514","11182","False","True"
"2026-09-19T18:15:29.2021032+03:00","34664","0","36514","11211","False","True"
"2026-09-19T18:15:30.2365922+03:00","34216","0","36491","11211","False","True"
"2026-09-19T18:15:31.2610618+03:00","34085","0","36491","11168","False","True"
"2026-09-19T18:15:32.2904530+03:00","35503","0","36491","11168","False","True"
"2026-09-19T18:15:33.3160509+03:00","35630","0","36469","11208","False","True"
"2026-09-19T18:15:34.3620440+03:00","35630","0","36469","11208","False","True"
"2026-09-19T18:15:35.3989022+03:00","34389","0","36446","11198","False","True"
"2026-09-19T18:15:36.4460572+03:00","34389","0","36446","11198","False","True"
"2026-09-19T18:15:37.4776725+03:00","34445","0","36423","11198","False","True"
"2026-09-19T18:15:38.5200049+03:00","34402","0","36423","11184","False","True"
"2026-09-19T18:15:39.5664531+03:00","34547","0","36412","11184","False","True"
"2026-09-19T18:15:40.6036807+03:00","34560","0","36412","11188","False","True"
"2026-09-19T18:15:41.6452122+03:00","35511","0","36389","11188","False","True"
"2026-09-19T18:15:42.6750801+03:00","35511","0","36389","11188","False","True"
"2026-09-19T18:15:43.7008693+03:00","35266","0","36389","11111","False","True"
"2026-09-19T18:15:44.7353413+03:00","35830","0","36355","11176","False","True"
"2026-09-19T18:15:45.7646183+03:00","35830","0","36355","11176","False","True"
"2026-09-19T18:15:46.7871494+03:00","34601","0","36332","11176","False","True"
"2026-09-19T18:15:47.8156167+03:00","34585","0","36332","11171","False","True"
"2026-09-19T18:15:48.8402841+03:00","34418","0","36320","11171","False","True"
"2026-09-19T18:15:49.8672487+03:00","34412","0","36320","11169","False","True"
"2026-09-19T18:15:50.8856859+03:00","35205","0","36298","11169","False","True"
"2026-09-19T18:15:51.9191494+03:00","35202","0","36298","11168","False","True"
"2026-09-19T18:15:52.9421306+03:00","34476","0","36263","11168","False","True"
"2026-09-19T18:15:53.9654134+03:00","34457","0","36263","11162","False","True"
"2026-09-19T18:15:55.0039404+03:00","34479","0","36263","11162","False","True"
"2026-09-19T18:15:56.0368587+03:00","34476","0","36252","11161","False","True"
